time1       St         Vt
1999/06/30 1372.709961 21.09
1999/05/31 1301.839966 25.389999
1999/04/30 1335.180054 25.07
1999/03/31 1286.369995 23.26
1999/02/28 1238.329956 27.879999
1999/01/31 1279.640015 26.25
1998/12/31 1229.22998  24.42
1998/11/30 1163.630005 26.01
1998/10/31 1098.670044 28.049999
1998/09/30 1017.01001  40.950001
1998/08/31 957.280029  44.279999
1998/07/31 1120.670044 24.799999
1998/06/30 1133.839966 19.709999
1998/05/31 1090.819946 21.32
1998/04/30 1111.75     21.18
1998/03/31 1101.75     24.219999
1998/02/28 1049.339966 18.549999
1998/01/31 980.280029  21.469999
1997/12/31 970.429993  24.01
1997/11/30 955.400024  27.43
1997/10/31 914.619995  35.09
1997/09/30 947.280029  22.91
1997/08/31 899.469971  24.76
1997/07/31 954.309998  21.48
1997/06/30 885.140015  21.530001
1997/05/31 848.280029  19.190001
1997/04/30 801.340027  20.059999
1997/03/31 757.119995  22.139999
1997/02/28 790.820007  21.1
1997/01/31 786.159973  19.469999
1996/12/31 740.73999   20.92
1996/11/30 757.02002   17.139999
1996/10/31 705.27002   18.110001
1996/09/30 687.330017  16.950001
1996/08/31 651.98999   17.01
1996/07/31 639.950012  19.459999
1996/06/30 670.630005  13.68
1996/05/31 669.119995  16.07
1996/04/30 654.169983  15.83
1996/03/31 645.5       18.879999
1996/02/29 640.429993  17.040001
1996/01/31 636.02002   12.53
1995/12/31 615.929993  12.52
1995/11/30 605.369995  11.58
1995/10/31 581.5       13.83
1995/09/30 584.409973  12.74
1995/08/31 561.880005  11.52
1995/07/31 562.059998  13.49
1995/06/30 544.75      11.38
1995/05/31 533.400024  12.85
1995/04/30 514.710022  11.75
1995/03/31 500.709991  13.37
1995/02/28 487.390015  11.75
1995/01/31 470.420013  11.96
1994/12/31 459.269989  13.2
1994/11/30 453.690002  15.95
1994/10/31 472.350006  14.56
1994/09/30 462.709991  14.28
1994/08/31 475.48999   11.97
1994/07/31 458.26001   11.13
1994/06/30 444.269989  14.97
1994/05/31 456.5       13.03
1994/04/30 450.910004  13.77
1994/03/31 445.769989  20.450001
1994/02/28 467.140015  14.87
1994/01/31 481.609985  10.63
1993/12/31 466.450012  11.66
1993/11/30 461.790009  13.76
1993/10/31 467.829987  11.46
1993/09/30 458.929993  12.99
1993/08/31 463.559998  11.85
1993/07/31 448.130005  11.73
1993/06/30 450.529999  11.26
1993/05/31 450.190002  13.47
1993/04/30 440.190002  12.42
1993/03/31 451.670013  12.53
1993/02/28 443.380005  13.16
1993/01/31 438.779999  12.42
1992/12/31 435.709991  12.57
1992/11/30 431.350006  13.01
1992/10/31 418.679993  16.15
1992/09/30 417.799988  14.28
1992/08/31 414.029999  13.58
