"time" "mx" "my"
0 5 5
0.01 4.97510897595558 4.97385937441982
0.02 4.9507395914563 4.94822519905272
0.03 4.92778154613148 4.92375057841487
0.04 4.90555815420605 4.89742620646421
0.05 4.88311560692203 4.87269132574868
0.06 4.86200146644116 4.84730462247828
0.07 4.84140733305976 4.82142108761689
0.08 4.82106415038484 4.79515229350338
0.09 4.80069680261966 4.76923829959058
0.1 4.78101276552935 4.74318341478104
0.11 4.7619729521182 4.71773561067897
0.12 4.74368174178584 4.69171958229804
0.13 4.72534529597582 4.66589704502128
0.14 4.70739102370432 4.64173108278486
0.15 4.69177372154287 4.61583039491928
0.16 4.6749799304872 4.5905546893419
0.17 4.66010626782198 4.56613194986348
0.18 4.64543813387976 4.54102279601779
0.19 4.6306130996837 4.51523254306717
0.2 4.61706180212826 4.49071412133143
0.21 4.60395853656496 4.46634435472261
0.22 4.59196549655652 4.44142638313871
0.23 4.58017219007682 4.41669151505338
0.24 4.56821513504578 4.39220454154067
0.25 4.55652966341111 4.36753052882458
0.26 4.54568393388683 4.34398102875561
0.27 4.53565121993114 4.31871910897678
0.28 4.52551421093977 4.2942199331103
0.29 4.51692601526423 4.27026940569373
0.3 4.50798832377685 4.24660951550964
0.31 4.49970446295631 4.22274709738565
0.32 4.49167451139681 4.19947303798296
0.33 4.48319925471633 4.17668446972377
0.34 4.47597257204196 4.15395942160813
0.35 4.46938157820013 4.13201974577512
0.36 4.46277440502694 4.1090818406779
0.37 4.45643290023055 4.08716000182273
0.38 4.45135062810053 4.06527381073059
0.39 4.44610317320873 4.04343499257661
0.4 4.44034033307592 4.0209859074901
0.41 4.43599567698991 3.99944420425768
0.42 4.43119185842685 3.97877853720444
0.43 4.4272698388413 3.95839585820256
0.44 4.42444533284277 3.93749610264898
0.45 4.42163406929014 3.91563301488599
0.46 4.41912805352103 3.89388209751154
0.47 4.41660091408779 3.87386879756588
0.48 4.41542706096805 3.85442748081043
0.49 4.41357504630433 3.83612143921418
0.5 4.41201308986116 3.81693853149112
0.51 4.41139114779853 3.79783837036827
0.52 4.41019513402689 3.779361551573
0.53 4.40972682168204 3.76074454946042
0.54 4.40987354543369 3.74223435894882
0.55 4.41065045514976 3.72470143500647
0.56 4.41208397995346 3.70692450073245
0.57 4.41275448497724 3.68906848946757
0.58 4.41396167973976 3.67144642168142
0.59 4.41493616478281 3.65472130155289
0.6 4.41669985901087 3.6376644821283
0.61 4.41897364064896 3.6210611087687
0.62 4.42098821200856 3.60401151088932
0.63 4.42344275287224 3.58666806113588
0.64 4.42570973788968 3.5701363938464
0.65 4.42862372965082 3.55476703140187
0.66 4.43120852558468 3.53893465602025
0.67 4.43528118913378 3.52278496642436
0.68 4.44014673785939 3.5071568768931
0.69 4.4449909296714 3.49259830115644
0.7 4.45014976861123 3.47766425478376
0.71 4.45443185909805 3.46391384793574
0.72 4.45945263745193 3.44899481284134
0.73 4.46491501126398 3.43512254007941
0.74 4.47087564403908 3.42037099191744
0.75 4.47706947141252 3.40590609380514
0.76 4.48401729431634 3.39331774130291
0.77 4.49008074770013 3.38018153865695
0.78 4.49692500146343 3.36815853301162
0.79 4.50458201560783 3.35545635923491
0.8 4.51142123015063 3.34161037131688
0.81 4.51891618940818 3.32851242368828
0.82 4.52706259596469 3.31699250929416
0.83 4.53592743598646 3.30472361875945
0.84 4.54417514234754 3.29404611022005
0.85 4.55217661578648 3.28211670902835
0.86 4.56075665746561 3.2716857701584
0.87 4.56936138192057 3.2613289565997
0.88 4.57891685327891 3.2494941847273
0.89 4.58854901408203 3.23886032001897
0.9 4.5984428758959 3.22870685285655
0.91 4.6084461045417 3.21858922821944
0.92 4.61825541813206 3.20884380943627
0.93 4.62925547162454 3.1994738512929
0.94 4.63966250494534 3.1903486164507
0.95 4.6492999688865 3.18165201956754
0.96 4.65997373804089 3.17220564508803
0.97 4.66966434002644 3.16351890886861
0.98 4.68111165234553 3.15488858397715
0.99 4.69294111730791 3.14668141531655
1 4.70518068668915 3.1382752274482
1.01 4.71729814747442 3.1316421774448
1.02 4.72916889434407 3.12356686381516
1.03 4.7411324484417 3.11578537530656
