"Xt" "Yt" "time"
5 5 0
4.29269658519893 5.35286280396266 0.125
3.95822054639536 5.00902217973565 0.25
4.65807681683594 5.07567244868504 0.375
4.641509996976 5.17343354046852 0.5
4.36762351322452 5.10536484591983 0.625
4.54306893047421 4.84801213464137 0.75
4.77468087434952 4.41900798979834 0.875
4.79050658769228 4.33205174642417 1
4.35446739393075 4.21369506955512 1.125
4.47053586843136 3.92162214290712 1.25
4.72465037972753 4.462885496131 1.375
4.85573462736246 4.85891096801172 1.5
4.65190776599208 4.5906039982681 1.625
5.07271312513619 4.65939089418295 1.75
5.71688071327549 4.445808228647 1.875
5.40449360417839 5.04951981179332 2
5.76217902270129 5.20421419782556 2.125
5.78866231911483 4.84757331121519 2.25
6.37979981935281 4.78145915496438 2.375
5.55931490462365 4.96969605615872 2.5
4.60860718172977 4.45561566265047 2.625
4.31912156908009 4.45696571597602 2.75
4.79411018294784 4.47265874336979 2.875
4.68283237069591 4.27175739790759 3
4.65720204684795 4.40234094639981 3.125
4.49912631536703 4.59015296181433 3.25
4.73104677996065 4.82483485684297 3.375
5.49694533908413 5.52272206445464 3.5
5.35378894187223 4.77920835439407 3.625
5.16380759091409 5.09850547202499 3.75
5.49430545055559 5.74421849568607 3.875
5.88495146895195 5.50806435831383 4
5.18849318606295 4.50462901735565 4.125
5.54327735863883 4.75907055792529 4.25
5.44773338564053 4.30402010090235 4.375
4.85970541804121 4.56327931493576 4.5
5.1152496522135 4.24889379161761 4.625
5.69079941333655 4.24574942825177 4.75
5.07262983990142 4.58835536762335 4.875
5.43328005740242 4.40905260777567 5
5.3823166905379 4.89404069455382 5.125
5.13095779521809 5.2169759414251 5.25
5.27952593121607 5.21098685122388 5.375
5.84450560498701 5.20084137921322 5.5
6.17855984460724 4.87605765772207 5.625
5.61400293711848 4.67973444239843 5.75
4.94620820131463 4.31125458390742 5.875
3.75221183886463 4.2395728480092 6
3.52674032296459 4.10982621427856 6.125
3.77838021838772 4.5282125585698 6.25
3.64627420291351 5.01112904014908 6.375
3.33716767998033 4.58737869586575 6.5
3.93775614859834 4.62218210351204 6.625
3.73006025772012 4.22429305756882 6.75
4.64098406068379 4.72959834945926 6.875
4.27557932982844 5.06579944998058 7
4.06342217866178 5.17299701078509 7.125
4.34923338035935 6.04002930782505 7.25
3.9990287438775 5.65130342714088 7.375
4.82959883152574 6.76669612653662 7.5
5.42545908138177 6.99006431360899 7.625
4.78382868001046 6.65628700727073 7.75
4.79474035799006 6.58898583826104 7.875
5.87003769401901 6.99249955205643 8
5.53454174760514 7.00392749796015 8.125
5.13623871661316 6.06865229997762 8.25
5.03509899591227 5.93948873188512 8.375
4.65810586098128 5.8169304832135 8.5
5.14263994171684 5.50207667432209 8.625
6.0223556405419 5.24234627821103 8.75
6.08763670912647 5.33624895989328 8.875
5.78384200619785 5.69872175022891 9
5.02605337811313 5.14034974038498 9.125
5.07864675603198 5.37485027826994 9.25
4.80543730411536 4.28006508341715 9.375
4.18980647980573 3.85640657812982 9.5
4.21519644891595 4.00224328478309 9.625
4.6411405022643 3.93876471362394 9.75
5.08189665221608 4.11568610635836 9.875
4.89103224459025 4.34170592826108 10
4.99126527887777 4.35981771277139 10.125
4.81050643000371 4.26230110757934 10.25
4.30582855518613 4.21699142814772 10.375
4.30810202224573 4.22089241515819 10.5
3.65263525796686 3.92075501365591 10.625
3.72877183884896 3.35786812557912 10.75
3.73160727135527 2.6669436488888 10.875
3.62769718431281 3.27666911973814 11
2.86430942044583 3.29503645841432 11.125
3.10214272968802 3.34454314958128 11.25
3.55739129246051 3.88887241844321 11.375
3.57801001175938 3.71560178568927 11.5
3.4931118154979 3.53602474442212 11.625
3.45919075161413 3.88168531070152 11.75
3.73976539366082 3.94737571092057 11.875
3.78554840165627 4.05882089796559 12
4.31661825908688 3.72531087162201 12.125
4.4068916621801 3.74269005202579 12.25
4.03089635291273 4.17562059231404 12.375
4.38565374624512 4.01177568100492 12.5
3.76659636010778 4.12761199783503 12.625
3.34618717756237 4.40650735759983 12.75
3.21490609807268 4.45484601416426 12.875
3.52198846686887 4.51910606431516 13
3.80378746854409 4.99632851734085 13.125
3.73484563319341 4.89639149677595 13.25
4.03572008294608 4.6631737001103 13.375
4.02841537886478 4.82361957118502 13.5
3.92360559458362 4.80832668292719 13.625
3.9748153909317 4.87717761894439 13.75
4.47306571611056 5.37055027067912 13.875
4.23399077902654 4.89888542095629 14
4.39117497258651 5.372350298375 14.125
5.07685789510971 4.88386493907376 14.25
4.8310199714642 4.99770209999331 14.375
4.54369839192965 5.46794486436822 14.5
4.54030116403771 5.22410902832682 14.625
4.21720538705236 5.57556063923117 14.75
4.77934021438685 6.36735340582676 14.875
4.23886999868547 5.73347678417753 15
5.37642718244931 6.3200258274579 15.125
4.72205597713481 5.41004524328405 15.25
4.57404722914502 5.38752924506526 15.375
3.82275301396202 5.16783097290009 15.5
4.07530644018382 5.38850933465655 15.625
3.83307544891115 5.63535697649704 15.75
4.56124923686396 5.9120194693904 15.875
5.3211898219546 5.45120150987059 16
6.02052434954723 5.52536200996424 16.125
5.62772745095767 5.33283780042299 16.25
5.65811570570277 4.90347818786236 16.375
5.79929155206196 5.13830851654021 16.5
5.97741285608428 5.30176077843611 16.625
5.38347649677374 5.51941609180192 16.75
5.55267825376755 4.84338808511413 16.875
5.8085719196022 5.13961735108486 17
5.46333067213352 5.10953545482189 17.125
5.14239429014927 4.72797901142461 17.25
5.15623000396657 4.98438695614284 17.375
4.19901763288382 4.88184568472553 17.5
4.01775631040933 4.76332687853091 17.625
4.11438350104403 5.79663800924113 17.75
4.01066155642646 5.41683629467054 17.875
4.12554791244607 5.58429519038197 18
3.81376201842163 6.01304316171909 18.125
4.12152869991246 5.94841868510217 18.25
4.40835597396396 5.56594352259574 18.375
5.13374144402634 5.36489831050285 18.5
5.34409227018642 6.23973294871058 18.625
5.31078331351738 6.22572428763029 18.75
5.78458314310089 5.2674293195344 18.875
5.83787319105282 5.10731082799415 19
6.79935663764588 5.1170501709632 19.125
7.04785289547707 5.42090977600045 19.25
6.8888101799519 6.32002098864947 19.375
6.35060783560255 6.18365815014573 19.5
6.0177753893735 5.86324518672487 19.625
6.15164790255976 5.65593515819914 19.75
6.05473351383594 5.82957875622922 19.875
5.66150647513745 5.85425863013964 20
6.45889295444449 5.94851722457788 20.125
6.64499164535855 5.63485800744118 20.25
6.24741006510826 5.33199841912643 20.375
6.24537519475238 6.0781531965506 20.5
5.38623057478567 5.98509250458534 20.625
5.07068651138252 5.75909703325213 20.75
6.16619365800519 5.79509592031629 20.875
6.40101545127727 5.75370516526107 21
7.1381826026749 6.19930820952254 21.125
7.0148150672179 5.93343097583499 21.25
6.76202155038872 5.39430288916482 21.375
5.00325497671208 5.09312992684378 21.5
5.19634430631404 4.88086644077652 21.625
5.00269394362799 4.74935147629911 21.75
6.04074791076824 4.63401499401672 21.875
6.2141359641936 4.55834287292311 22
5.29501727785093 4.63799630125971 22.125
4.93515917415495 4.51703164853675 22.25
4.56355764715079 3.82047262109742 22.375
4.65961682067768 4.00869923002059 22.5
4.42536938170252 4.3273369306005 22.625
4.191164528742 4.57658040471143 22.75
4.07695969754659 4.74519592788145 22.875
3.89612093238297 5.21034484413481 23
3.64362241960115 5.18876848908432 23.125
3.9865134924162 5.6840393511847 23.25
3.59106607230659 5.3270568139414 23.375
4.5564683657458 5.35265753663801 23.5
4.01215514028194 4.44450808349801 23.625
4.01420908954173 3.92669384842298 23.75
4.52922544932671 3.80363476767133 23.875
4.38384663393265 4.35651528623605 24
4.36931820414989 4.49857448444306 24.125
4.15949836835159 4.0751392863271 24.25
4.23964941491043 4.28423440180092 24.375
4.14434278133631 5.25699564960923 24.5
3.40056396524007 5.85872913559871 24.625
3.06879063562345 5.23150129548701 24.75
3.65930143044459 5.8114343407122 24.875
4.29821873223876 6.08817451833656 25
4.23473551142459 6.43215248267485 25.125
5.0028782403613 5.72253760232317 25.25
4.12733824504759 5.66415220167635 25.375
4.43361636805988 5.45208768912683 25.5
4.66555671962288 5.49098921103258 25.625
4.07598830968284 5.90621361236126 25.75
