"Xt" "time"
7 0
6.28681088641921 0.25
5.93364290358452 0.5
6.16174783064542 0.75
6.48226410404584 1
6.8874009752803 1.25
7.31191683768847 1.5
7.24235775442859 1.75
7.55386292931889 2
7.42947791151313 2.25
7.38379823793082 2.5
8.44534681773561 2.75
6.65588829371172 3
6.29226266731207 3.25
6.18831810130468 3.5
6.03724500426011 3.75
5.42878049385314 4
5.28965747819772 4.25
4.60563464976383 4.5
4.28531532367379 4.75
3.58141026908039 5
3.60834312799624 5.25
3.87484834879959 5.5
3.1283901726661 5.75
2.4934368118993 6
2.7472374953868 6.25
2.40651552852342 6.5
2.18821632813396 6.75
2.3237146182985 7
2.61059514527215 7.25
3.33385494053753 7.5
3.07518952104921 7.75
3.93941948484368 8
4.69870805850783 8.25
5.72877976612665 8.5
5.90424296839695 8.75
6.36396144887433 9
6.07904703901539 9.25
6.28803432361099 9.5
6.6390026164711 9.75
6.93220476346475 10
7.11781796211533 10.25
7.08185643949418 10.5
8.29481085744309 10.75
8.09192040908322 11
7.81946522285455 11.25
7.06954831749725 11.5
7.0269029843828 11.75
6.02563337311049 12
5.35354314187541 12.25
4.19227346009401 12.5
3.94157528139685 12.75
3.60031192533848 13
3.65010270780052 13.25
3.66392508729066 13.5
3.51551306951326 13.75
2.52431042895274 14
2.09631154326223 14.25
2.2802331360931 14.5
2.12252240113471 14.75
2.28231084542343 15
2.91709577705725 15.25
3.44241445275983 15.5
3.51835011530667 15.75
4.24037322113696 16
4.66274049896102 16.25
5.58543736947628 16.5
5.27027547505121 16.75
6.09219642275452 17
7.294136699029 17.25
8.30239937932482 17.5
7.63849517664871 17.75
6.93703549124491 18
7.32241944068212 18.25
6.65524784884336 18.5
7.72325439598721 18.75
7.05726788372582 19
6.74359059444189 19.25
6.13704025414341 19.5
5.66693110762197 19.75
5.59601487758029 20
5.75791177097753 20.25
4.29745458225817 20.5
3.70847518124977 20.75
3.89908424337965 21
3.14264612263468 21.25
3.15321048288547 21.5
2.83273407879837 21.75
2.90518340171389 22
1.9624741125801 22.25
1.91390849822984 22.5
1.77493833507781 22.75
1.70826496845582 23
2.66825338128606 23.25
2.91289618655453 23.5
3.70866469884267 23.75
3.43429754686504 24
4.39550431467051 24.25
5.34382600574227 24.5
6.05989904628684 24.75
6.29915103844264 25
6.22230106505139 25.25
6.07611826669377 25.5
6.54004607494203 25.75
6.56541510123505 26
6.55456934779028 26.25
7.28271961620254 26.5
6.69475990404076 26.75
7.26377054681054 27
6.68350064853939 27.25
6.37286233428828 27.5
5.55043497915006 27.75
5.4845524514644 28
5.08302209582289 28.25
5.18922219273825 28.5
5.1571394818877 28.75
5.5015690321588 29
4.40675194194088 29.25
3.84410746281294 29.5
3.39137520490271 29.75
2.26444855474889 30
2.32999602300159 30.25
2.64687214385243 30.5
2.36833164231799 30.75
3.03079755935273 31
3.51927861128695 31.25
3.0140123365674 31.5
3.16915099769191 31.75
4.137634482302 32
4.84380354670889 32.25
4.8842180699746 32.5
5.30677264884481 32.75
7.43671400765754 33
7.14245564582063 33.25
8.17080051738348 33.5
7.41857219651793 33.75
8.7588275712658 34
9.66211438082358 34.25
9.33941029213988 34.5
7.86855527011071 34.75
7.13082776514928 35
7.10213794348519 35.25
7.11223661797454 35.5
5.44977989341563 35.75
4.70940560644967 36
5.34422156141796 36.25
4.93459789718967 36.5
4.35755163698398 36.75
3.87363277196148 37
3.57406814595365 37.25
2.88873204597867 37.5
2.33448740314589 37.75
2.098933823284 38
2.22376066492656 38.25
2.04877748428125 38.5
2.13707466108158 38.75
2.1954815036871 39
2.37746618069314 39.25
2.98647005286844 39.5
2.69623310676079 39.75
3.63735727196824 40
4.37135462484666 40.25
4.7389265086534 40.5
5.71134431153906 40.75
6.29545036577828 41
6.65919824053386 41.25
7.56458049050058 41.5
7.08801352443431 41.75
8.5599630468482 42
8.60433034960614 42.25
9.15585478615732 42.5
8.10948236515978 42.75
7.46527580078775 43
6.6028790537899 43.25
7.21549285344639 43.5
6.45532333785676 43.75
6.39554379099527 44
6.34929556604594 44.25
5.13318088026039 44.5
4.74723895584159 44.75
5.17203943305101 45
4.24465355237338 45.25
2.85257658629112 45.5
2.48531575851027 45.75
2.20503269039657 46
1.91836807251936 46.25
2.06180026844093 46.5
2.23938202568626 46.75
2.6641943542152 47
2.34266563809113 47.25
2.46809321346095 47.5
3.62294988388908 47.75
3.66861775244852 48
4.36379185421262 48.25
4.55574057354818 48.5
5.32972421326512 48.75
6.06728637554383 49
6.32416882559512 49.25
6.13140319793492 49.5
6.49565446720454 49.75
7.76591804398123 50
8.60681691220406 50.25
9.02009911636654 50.5
8.27023750649673 50.75
7.15741042708542 51
6.76208301196177 51.25
6.46547116639679 51.5
6.92686075963297 51.75
5.60454384622199 52
5.41514560095372 52.25
4.97074482940169 52.5
3.96038606795593 52.75
3.66717835157248 53
3.32287181011708 53.25
3.1015434893428 53.5
2.92245115856737 53.75
3.01022080801754 54
2.54710804085564 54.25
2.54599880241403 54.5
2.49684376161815 54.75
2.32258108516343 55
2.28530409322751 55.25
2.63565786446764 55.5
3.48474524034342 55.75
3.65395889612313 56
4.32089300834654 56.25
4.77348465198119 56.5
5.30215897568703 56.75
5.88101068993987 57
6.47740268360208 57.25
5.99629145845653 57.5
7.66822606689604 57.75
8.64969706965023 58
7.79395352401907 58.25
8.09797719345269 58.5
8.04775374466923 58.75
8.15128154654661 59
8.27117265973967 59.25
7.83157524507724 59.5
6.79315526613661 59.75
5.78113697390441 60
6.01218941735523 60.25
5.28173887648989 60.5
4.96695532580893 60.75
3.5459388758101 61
2.62834598578692 61.25
2.40566776768102 61.5
2.42194190811329 61.75
2.56021221687597 62
2.3191366979423 62.25
2.10946973673763 62.5
3.01028131081137 62.75
3.03656112585376 63
2.87663959532551 63.25
2.66352695195686 63.5
3.96534003348599 63.75
3.87732178267405 64
4.1833947265292 64.25
5.34580531149412 64.5
5.6393192455899 64.75
6.39205085012618 65
6.19682736083555 65.25
7.3658761764449 65.5
8.13979201315578 65.75
7.76799224687915 66
7.75564000287623 66.25
8.62475568575575 66.5
7.68115662723249 66.75
7.84287778215796 67
7.67332606862886 67.25
7.45639968326134 67.5
5.94419725233907 67.75
5.67761287063195 68
5.4403036073196 68.25
4.69786772631373 68.5
4.34699491138321 68.75
4.08839802372232 69
3.49883170032574 69.25
3.23918348742429 69.5
3.63317371767122 69.75
2.98073313273265 70
2.97732488335212 70.25
2.26266735248631 70.5
2.65489147905559 70.75
2.21969491708341 71
2.43004990815775 71.25
3.29290388419865 71.5
3.08101256287262 71.75
3.52748114168592 72
3.85165932573033 72.25
5.29996679552786 72.5
6.31894833426268 72.75
6.33391046515148 73
6.35545631916219 73.25
7.04314376835049 73.5
7.00287563463387 73.75
5.83816893817522 74
6.33810002402636 74.25
6.52000377660106 74.5
6.8330380740947 74.75
7.74619015460096 75
7.87409753452862 75.25
7.1330369229815 75.5
6.93555947185615 75.75
5.58880021920375 76
4.4539826124721 76.25
3.9307732361891 76.5
4.21217176894338 76.75
3.70909723024362 77
3.1166128299703 77.25
2.58868777219612 77.5
2.53343069034435 77.75
2.40769340531307 78
2.18598936990356 78.25
2.1656463569594 78.5
2.21633175307207 78.75
2.86467892798518 79
3.00634754319738 79.25
2.53322788559106 79.5
3.18901821535615 79.75
3.8381941750028 80
4.29495977729533 80.25
5.26526635961282 80.5
6.66839257815717 80.75
7.02098815323323 81
6.7879083555326 81.25
6.91967043344444 81.5
7.2756021761652 81.75
7.46604769313051 82
8.17420929825703 82.25
7.54096139690357 82.5
7.23702134795731 82.75
6.9029819679496 83
7.30339626837664 83.25
6.68577985167372 83.5
6.42157063545106 83.75
5.14443327419706 84
5.27052315060331 84.25
